episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,645,0,Monza,-664.2401410767343,0.003783330778168333,215,0.0,nan,1.0,0.0
2,1179,0,Monza,-644.9727451241197,0.003336640711924626,178,0.0,nan,1.0,0.0
3,1638,2,Silverstone,-1094.3468977855518,0.0067623017447655046,546,0.0,nan,1.0,0.0
4,2580,0,Monza,-970.8926260371518,0.006170301831606362,467,0.0,nan,1.0,0.0
5,2715,2,Silverstone,-813.6046558860594,0.005372599072873521,359,0.0,nan,1.0,0.0
6,4437,2,Silverstone,-1092.773579337867,0.0069616601482924605,574,0.0,nan,1.0,0.0
7,4914,1,Melbourne,-2053.2707778550102,0.028237181469006688,1638,0.0,nan,1.0,0.0
8,5634,0,Monza,-1639.4697352284566,0.013602121512178692,1018,0.0,nan,1.0,0.0
9,5721,2,Silverstone,-843.6396202348405,0.00782424709128334,428,0.0,nan,1.0,0.0
10,5805,1,Melbourne,-778.1411760570481,0.0047104588737232654,297,0.0,nan,1.0,0.0
11,6930,0,Monza,-949.9413826288655,0.006480294786771902,432,0.0,nan,1.0,0.0
12,7539,1,Melbourne,-1117.0237502492964,0.007425443997401723,578,0.0,nan,1.0,0.0
13,8328,0,Monza,-1100.4603863344528,0.004459732707815449,466,0.0,nan,1.0,0.0
14,8985,2,Silverstone,-1624.5238186721108,0.012137969784117285,1088,0.0,nan,1.0,0.0
15,9873,2,Silverstone,-786.7709293616936,0.0047510918885059405,296,0.0,nan,1.0,0.0
16,9918,1,Melbourne,-1269.216579776461,0.01195212590822415,793,0.0,nan,1.0,0.0
17,11028,1,Melbourne,-900.0912145466718,0.0055405048135292465,370,0.0,nan,1.0,0.0
18,11268,2,Silverstone,-866.1999442491215,0.008511011285833916,465,0.0,nan,1.0,0.0
19,12888,2,Silverstone,-937.0824610354612,0.009736254679759155,540,0.0,nan,1.0,0.0
20,13167,1,Melbourne,-1209.116925860988,0.010619151147979107,713,0.0,nan,1.0,0.0
21,13614,0,Monza,-3064.472587024793,0.02333899728241758,1762,0.0,nan,1.0,0.0
22,13767,2,Silverstone,-812.5561486794613,0.003723610206088564,293,0.0,nan,1.0,0.0
23,14049,1,Melbourne,-858.5275217904709,0.0034829676784764643,294,0.0,nan,1.0,0.0
24,15111,0,Monza,-929.9525761258556,0.00825440572006152,499,0.0,nan,1.0,0.0
25,15972,0,Monza,-774.9761456730776,0.004308531029738241,287,0.0,nan,1.0,0.0
26,16077,1,Melbourne,-1195.4248413681053,0.009789519885578524,676,0.0,nan,1.0,0.0
27,16857,2,Silverstone,-1564.7044422182953,0.013265846069267735,1030,0.0,nan,1.0,0.0
28,17346,0,Monza,-1018.788896414917,0.006515776162148916,458,0.0,nan,1.0,0.0
29,17487,2,Silverstone,-692.2277426323853,0.0034856823589834787,210,0.0,nan,1.0,0.0
30,17793,1,Melbourne,-987.0947613934986,0.011579221492011148,572,0.0,nan,1.0,0.0
31,18390,2,Silverstone,-810.2049984077457,0.0043376938093803545,301,0.0,nan,1.0,0.0
32,19818,2,Silverstone,-885.2516887221136,0.010690327409785656,476,0.0,nan,1.0,0.0
33,20268,0,Monza,-1535.4887789441273,0.015735852945278822,974,0.0,nan,1.0,0.0
34,20310,1,Melbourne,-1095.823950026068,0.020698438389396643,839,0.0,nan,1.0,0.0
35,21135,2,Silverstone,-1000.0168228949187,0.004977583688227511,439,0.0,nan,1.0,0.0
36,22362,2,Silverstone,-927.8900840432616,0.006440589039177928,409,0.0,nan,1.0,0.0
37,23217,2,Silverstone,-775.9877581985202,0.0040687652535928475,285,0.0,nan,1.0,0.0
38,23256,1,Melbourne,-1485.5120543582598,0.013776965665355887,982,0.0,nan,1.0,0.0
39,23283,0,Monza,-1500.9094447577809,0.0180141662395409,1005,0.0,nan,1.0,0.0
40,24087,2,Silverstone,-827.4716567653231,0.004683491680944273,290,0.0,nan,1.0,0.0
41,24654,0,Monza,-932.2449333425611,0.007686155576322947,457,0.0,nan,1.0,0.0
42,25050,1,Melbourne,-1089.5748760217102,0.007988921478437374,598,0.0,nan,1.0,0.0
43,25314,2,Silverstone,-923.110811524326,0.006841555730440564,409,0.0,nan,1.0,0.0
44,26340,1,Melbourne,-757.8894025459886,0.012632640327525115,430,0.0,nan,1.0,0.0
45,26490,2,Silverstone,-1019.8678874777688,0.004253670483907999,392,0.0,nan,1.0,0.0
46,26856,0,Monza,-1019.1745331743732,0.014836907106849916,734,0.0,nan,1.0,0.0
47,26961,2,Silverstone,-621.2160862843375,0.0036441488578136216,157,0.0,nan,1.0,0.0
48,28245,0,Monza,-1115.0908239457058,0.005252424160088593,463,0.0,nan,1.0,0.0
49,28779,2,Silverstone,-1095.9322970698413,0.011379561811307334,606,0.0,nan,1.0,0.0
50,29202,0,Monza,-718.0131649896502,0.0068450593481344,319,0.0,nan,1.0,0.0
51,29556,2,Silverstone,-703.4437260442646,0.004888863599867819,259,0.0,nan,1.0,0.0
52,30018,1,Melbourne,-2115.370252329565,0.01781256009942674,1226,0.0,nan,1.0,0.0
53,30558,2,Silverstone,-952.984280441422,0.003414598459743786,334,0.0,nan,1.0,0.0
54,30693,0,Monza,-1050.4032482062466,0.007378481665299696,497,0.0,nan,1.0,0.0
55,31266,0,Monza,-705.3757865754887,0.0031425999638735086,191,0.0,nan,1.0,0.0
56,31545,2,Silverstone,-973.5667938309489,0.0034583934408389527,329,0.0,nan,1.0,0.0
57,31782,1,Melbourne,-1096.5455199643038,0.009084522221133822,588,0.0,nan,1.0,0.0
58,32967,0,Monza,-1245.9373454772867,0.006959409306568696,567,0.0,nan,1.0,0.0
59,33438,1,Melbourne,-1175.6959917086642,0.012886676313598959,552,0.0,nan,1.0,0.0
60,33603,0,Monza,-778.9955758592114,0.002279536062991648,212,0.0,nan,1.0,0.0
61,33903,0,Monza,-622.6681720847264,0.002022585972026087,100,0.0,nan,1.0,0.0
62,34365,1,Melbourne,-890.1234475481324,0.0037267979928507773,309,0.0,nan,1.0,0.0
63,34650,0,Monza,-740.7780208359181,0.003645115747287941,249,0.0,nan,1.0,0.0
64,35454,0,Monza,-713.7750451397151,0.005563513390666851,268,0.0,nan,1.0,0.0
65,35955,2,Silverstone,-2069.217077113295,0.01906421240034983,1470,0.0,nan,1.0,0.0
66,36459,0,Monza,-886.364559593203,0.004489585130592544,335,0.0,nan,1.0,0.0
67,37251,2,Silverstone,-917.078869407298,0.008026757406328508,432,0.0,nan,1.0,0.0
68,37458,0,Monza,-859.7507607957814,0.004573323706348632,333,0.0,nan,1.0,0.0
69,38199,2,Silverstone,-874.1643270226195,0.005017345466754965,316,0.0,nan,1.0,0.0
70,38973,0,Monza,-1105.9393655224703,0.007377385389886977,505,0.0,nan,1.0,0.0
71,39738,0,Monza,-880.0335431955755,0.003677793187474733,255,0.0,nan,1.0,0.0
