episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,198,0,Monza,-491.1070086900145,0.0033115107063100093,66,0.0,nan,1.0,0.0
2,1491,2,Silverstone,-1089.4680317791644,0.0059474911447875345,497,0.0,nan,1.0,0.0
3,2358,0,Monza,-1208.5320742090698,0.010983077386756015,720,0.0,nan,1.0,0.0
4,2370,1,Melbourne,-1347.3894159827905,0.010795250819471665,790,0.0,nan,1.0,0.0
5,4821,2,Silverstone,-2008.4754217369482,0.012017575058625555,1110,0.0,nan,1.0,0.0
6,4998,1,Melbourne,-1421.9814268881746,0.0129395707204209,876,0.0,nan,1.0,0.0
7,6477,0,Monza,-2329.7509405085584,0.019377173893061202,1373,0.0,nan,1.0,0.0
8,6837,1,Melbourne,-1179.5787313948385,0.009173032809552766,613,0.0,nan,1.0,0.0
9,7686,1,Melbourne,-823.7923698507657,0.0033747138380338247,283,0.0,nan,1.0,0.0
10,10380,0,Monza,-1758.4337868874427,0.018746501932733552,1301,0.0,nan,1.0,0.0
11,11565,0,Monza,-828.5719363555545,0.006972564611521315,395,0.0,nan,1.0,0.0
12,11733,1,Melbourne,-1660.2522653472552,0.0274363011733804,1349,0.0,nan,1.0,0.0
13,12750,1,Melbourne,-761.0816958015785,0.0066271899920096276,339,0.0,nan,1.0,0.0
14,13599,0,Monza,-1108.2588451097254,0.012810613299473602,678,0.0,nan,1.0,0.0
15,14043,2,Silverstone,-3558.540396385215,0.05034216487881398,3074,0.0,nan,1.0,0.0
16,14319,0,Monza,-768.3549209409393,0.0036792478606185322,240,0.0,nan,1.0,0.0
17,14517,0,Monza,-471.07234951481223,0.004870245685439456,66,0.0,nan,1.0,0.0
18,15477,2,Silverstone,-858.823454316982,0.01118476538497779,478,0.0,nan,1.0,0.0
19,15615,0,Monza,-790.1355178599479,0.0062284044284804255,366,0.0,nan,1.0,0.0
20,16332,2,Silverstone,-776.0906515372917,0.004538089025906722,285,0.0,nan,1.0,0.0
21,17049,1,Melbourne,-1646.1087751109153,0.03395901549686324,1433,0.0,nan,1.0,0.0
22,18606,0,Monza,-1469.1761765934061,0.018398579429454425,997,0.0,nan,1.0,0.0
23,19305,1,Melbourne,-1121.3700011644978,0.01785905004409864,752,0.0,nan,1.0,0.0
24,19350,2,Silverstone,-1276.4232970631856,0.024243259222493103,1006,0.0,nan,1.0,0.0
25,20145,0,Monza,-771.9053771335166,0.01608548047305802,513,0.0,nan,1.0,0.0
26,20340,0,Monza,-437.3736494258046,0.006253260365241863,65,0.0,nan,1.0,0.0
27,20868,0,Monza,-589.1686100708321,0.0045791423989238285,176,0.0,nan,1.0,0.0
28,21087,2,Silverstone,-685.906561619835,0.019256520475480782,579,0.0,nan,1.0,0.0
29,21915,1,Melbourne,-1188.8661060079467,0.018110805304442788,870,0.0,nan,1.0,0.0
30,21984,0,Monza,-717.4589422065765,0.011144567187937193,372,0.0,nan,1.0,0.0
31,22623,1,Melbourne,-670.0317937163636,0.006886524633819117,236,0.0,nan,1.0,0.0
32,22809,0,Monza,-728.1156965624541,0.006622388946035758,275,0.0,nan,1.0,0.0
33,22908,2,Silverstone,-924.882555027958,0.013732546704693097,607,0.0,nan,1.0,0.0
34,23556,0,Monza,-677.2048435155302,0.005432782547700208,249,0.0,nan,1.0,0.0
