episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,486,2,Silverstone,-711.8821414336562,0.0024171428817893834,162,0.0,nan,1.0,0.0
2,1350,2,Silverstone,-802.7980934735388,0.004640028480008918,288,0.0,nan,1.0,0.0
3,1518,0,Monza,-1014.1753329234198,0.007909374116127948,506,0.0,nan,1.0,0.0
4,1701,1,Melbourne,-1050.751918815542,0.00792430091609611,567,0.0,nan,1.0,0.0
5,3585,2,Silverstone,-1316.349634151673,0.01023151951331832,745,0.0,nan,1.0,0.0
6,3867,1,Melbourne,-1312.2955982787535,0.010024595899172203,722,0.0,nan,1.0,0.0
7,4080,0,Monza,-1361.160735727637,0.01253601475552974,854,0.0,nan,1.0,0.0
8,4878,0,Monza,-770.9433293226175,0.003943134001791483,266,0.0,nan,1.0,0.0
9,5676,1,Melbourne,-1177.2570066568442,0.010387576854697681,603,0.0,nan,1.0,0.0
10,6000,2,Silverstone,-1382.3560041920282,0.00960283239892981,805,0.0,nan,1.0,0.0
11,6012,0,Monza,-900.0773841890041,0.004730449488098413,378,0.0,nan,1.0,0.0
12,7998,1,Melbourne,-1426.341762696742,0.009763487359572953,774,0.0,nan,1.0,0.0
13,8652,2,Silverstone,-1426.7772958069108,0.01350996368997931,884,0.0,nan,1.0,0.0
14,8838,1,Melbourne,-790.6543676571455,0.004578960060944677,280,0.0,nan,1.0,0.0
15,9543,0,Monza,-1636.2218155543087,0.018973112074596652,1177,0.0,nan,1.0,0.0
16,10875,2,Silverstone,-1206.9243566880468,0.013930971976520582,741,0.0,nan,1.0,0.0
17,11349,0,Monza,-1005.8763050595298,0.01165526287250806,602,0.0,nan,1.0,0.0
18,12168,1,Melbourne,-1681.338141628541,0.015775848985178417,1110,0.0,nan,1.0,0.0
19,12480,0,Monza,-821.5214243037626,0.006635728720408786,377,0.0,nan,1.0,0.0
20,13053,1,Melbourne,-751.2796182017773,0.006195326511920732,295,0.0,nan,1.0,0.0
21,13278,0,Monza,-741.5805253046565,0.005313140952177599,266,0.0,nan,1.0,0.0
22,13599,2,Silverstone,-1240.667752517038,0.01865154009032383,908,0.0,nan,1.0,0.0
23,13914,1,Melbourne,-761.8911000965163,0.007427885986566848,287,0.0,nan,1.0,0.0
24,14250,2,Silverstone,-708.7566563761793,0.004460079215830957,217,0.0,nan,1.0,0.0
25,14370,0,Monza,-761.6729765729851,0.007308235710007831,364,0.0,nan,1.0,0.0
26,15129,2,Silverstone,-822.3713382231072,0.004043155972507369,293,0.0,nan,1.0,0.0
27,15813,0,Monza,-1118.9041989566758,0.005530593504956093,481,0.0,nan,1.0,0.0
28,16026,2,Silverstone,-839.3572793365456,0.003325183706674488,299,0.0,nan,1.0,0.0
29,16269,1,Melbourne,-1457.2712690201588,0.011421459776890654,785,0.0,nan,1.0,0.0
30,16287,0,Monza,-581.1559575038264,0.004887954749798749,158,0.0,nan,1.0,0.0
31,16737,2,Silverstone,-606.8416621061042,0.007088897839580312,237,0.0,nan,1.0,0.0
32,17127,0,Monza,-789.4020039313473,0.00436933215070515,280,0.0,nan,1.0,0.0
33,17196,1,Melbourne,-785.2759752012789,0.005860820071565948,309,0.0,nan,1.0,0.0
34,18300,1,Melbourne,-947.5051073487848,0.006275082799559041,368,0.0,nan,1.0,0.0
35,18888,0,Monza,-983.6100886673667,0.013835767844791689,587,0.0,nan,1.0,0.0
36,19383,0,Monza,-640.8685620666947,0.0025300982414561777,165,0.0,nan,1.0,0.0
37,19431,1,Melbourne,-896.847877215594,0.0069236382616022826,377,0.0,nan,1.0,0.0
38,19506,2,Silverstone,-1430.4312347138766,0.014062610938990937,923,0.0,nan,1.0,0.0
39,20766,2,Silverstone,-953.3622771020746,0.007076207248467507,420,0.0,nan,1.0,0.0
40,22374,2,Silverstone,-1148.8422458241694,0.008019333825252717,536,0.0,nan,1.0,0.0
41,22779,1,Melbourne,-2105.046046120784,0.013809863406184167,1116,0.0,nan,1.0,0.0
42,23478,0,Monza,-2094.394072143128,0.01896132711390993,1365,0.0,nan,1.0,0.0
43,23520,2,Silverstone,-774.9165081009269,0.007615267063121839,382,0.0,nan,1.0,0.0
44,23583,1,Melbourne,-803.112001884263,0.004688987799177077,268,0.0,nan,1.0,0.0
45,24357,1,Melbourne,-743.7575537405937,0.005401403581651686,258,0.0,nan,1.0,0.0
46,24924,1,Melbourne,-700.2111366200261,0.0042246412556653,189,0.0,nan,1.0,0.0
47,25416,2,Silverstone,-995.1920741278445,0.014700764156064078,632,0.0,nan,1.0,0.0
48,25737,1,Melbourne,-844.0266057301778,0.004370792003434635,271,0.0,nan,1.0,0.0
49,26484,0,Monza,-1863.59783208539,0.012498172171571488,1002,0.0,nan,1.0,0.0
50,27249,0,Monza,-763.0943237559404,0.0045643005164131825,255,0.0,nan,1.0,0.0
51,28065,0,Monza,-795.3573147915304,0.0056459448688154674,272,0.0,nan,1.0,0.0
52,28221,2,Silverstone,-1267.8832271851134,0.02026368062310968,935,0.0,nan,1.0,0.0
53,28626,2,Silverstone,-573.9667019364424,0.003969003106789416,135,0.0,nan,1.0,0.0
54,29478,0,Monza,-835.3510055318475,0.011483484948222912,471,0.0,nan,1.0,0.0
55,30441,0,Monza,-959.6355059167836,0.0041713701098316175,321,0.0,nan,1.0,0.0
56,31647,1,Melbourne,-1927.228843054545,0.05216319233042159,1970,0.0,nan,1.0,0.0
57,32673,2,Silverstone,-1212.9130986863456,0.04117026825089481,1349,0.0,nan,1.0,0.0
58,33105,0,Monza,-1095.4485956609715,0.027036049077383044,888,0.0,nan,1.0,0.0
59,33432,1,Melbourne,-1146.564127122052,0.01343775954773992,595,0.0,nan,1.0,0.0
60,33732,0,Monza,-706.354327717796,0.006390948340635371,209,0.0,nan,1.0,0.0
61,34233,2,Silverstone,-842.6934081169311,0.015908195102659416,520,0.0,nan,1.0,0.0
62,34281,0,Monza,-608.9503866200102,0.004551145211460565,183,0.0,nan,1.0,0.0
63,35412,0,Monza,-571.8879103823419,0.014794911325655021,377,0.0,nan,1.0,0.0
64,35601,0,Monza,-511.60595005750656,0.002796767235599874,63,0.0,nan,1.0,0.0
65,35976,0,Monza,-595.9369655828923,0.002911454509545776,125,0.0,nan,1.0,0.0
66,36318,2,Silverstone,-831.2820604969747,0.02296474437665807,695,0.0,nan,1.0,0.0
67,36684,0,Monza,-593.0414183592948,0.013635150761902979,236,0.0,nan,1.0,0.0
68,36897,1,Melbourne,-1580.0386612686561,0.0290957940745179,1155,0.0,nan,1.0,0.0
69,40209,1,Melbourne,-682.8799736817018,0.060281009369037,1104,0.0,nan,1.0,0.0
70,40470,2,Silverstone,-870.3864297554392,0.05134405801640587,1384,0.0,nan,1.0,0.0
71,40662,0,Monza,-1385.4568160795025,0.04016685649097082,1326,0.0,nan,1.0,0.0
72,40959,2,Silverstone,-359.98897866532207,0.014375038984168777,163,0.0,nan,1.0,0.0
73,41067,0,Monza,-655.7222222657874,0.002207055392435396,135,0.0,nan,1.0,0.0
74,41457,1,Melbourne,-905.9849887983873,0.01015148718522414,416,0.0,nan,1.0,0.0
75,41487,0,Monza,-643.2769806981087,0.0025152774411650067,140,0.0,nan,1.0,0.0
76,43491,1,Melbourne,-911.5885016529355,0.02187598399492656,678,0.0,nan,1.0,0.0
77,43737,0,Monza,-845.7445406381739,0.029663020117328454,750,0.0,nan,1.0,0.0
78,43956,0,Monza,-497.17318775877357,0.004781681916700946,73,0.0,nan,1.0,0.0
79,44583,0,Monza,-371.87116388138384,0.022129499810007038,209,0.0,nan,1.0,0.0
80,44832,0,Monza,-281.58236963301897,0.01716809460755617,83,0.0,nan,1.0,0.0
81,44994,0,Monza,-380.90500275045633,0.00861344645883646,54,0.0,nan,1.0,0.0
82,45558,2,Silverstone,-900.0526457983069,0.07005011373423878,1533,0.0,nan,1.0,0.0
83,45591,0,Monza,-537.7320624052081,0.009726408448269377,199,0.0,nan,1.0,0.0
84,45741,0,Monza,-416.13774170540273,0.006619100119797604,50,0.0,nan,1.0,0.0
85,46191,0,Monza,-517.7382338931784,0.0085939559469315,150,0.0,nan,1.0,0.0
86,46200,1,Melbourne,-873.10955749196,0.03837148257954043,903,0.0,nan,1.0,0.0
87,46587,0,Monza,-430.1561530570034,0.009647054974164161,132,0.0,nan,1.0,0.0
88,47403,0,Monza,-359.525814817287,0.020794067699560496,272,0.0,nan,1.0,0.0
89,47568,2,Silverstone,-294.01603601209354,0.04425910006622332,670,0.0,nan,1.0,0.0
90,48213,0,Monza,-436.6142188166268,0.01498794012717132,270,0.0,nan,1.0,0.0
91,48798,2,Silverstone,-183.5081708029611,0.03734094459138619,410,0.0,nan,1.0,0.0
92,48843,0,Monza,-499.0983302081004,0.011583435750755544,210,0.0,nan,1.0,0.0
93,48900,2,Silverstone,-470.99933023226913,0.0030243420467650772,34,0.0,nan,1.0,0.0
94,48915,1,Melbourne,-230.3738595721079,0.06169237543712758,905,0.0,nan,1.0,0.0
95,49377,0,Monza,-268.4125443974044,0.020645901861087737,178,0.0,nan,1.0,0.0
96,50163,2,Silverstone,-386.2242935646791,0.026969009493557492,421,0.0,nan,1.0,0.0
97,50373,2,Silverstone,-376.3648681594059,0.009899490518386593,70,0.0,nan,1.0,0.0
98,50403,1,Melbourne,-264.60078522970434,0.04264616157545714,496,0.0,nan,1.0,0.0
99,50610,0,Monza,-415.4797220923938,0.026557862175243165,411,0.0,nan,1.0,0.0
100,50649,2,Silverstone,-385.00428218438174,0.009143944149455017,92,0.0,nan,1.0,0.0
101,50697,1,Melbourne,-366.98397709801793,0.01210747443122156,98,0.0,nan,1.0,0.0
102,50778,0,Monza,-453.717261435464,0.004676668746216796,56,0.0,nan,1.0,0.0
103,51048,0,Monza,-362.53891655963525,0.016683066525196542,90,0.0,nan,1.0,0.0
104,51057,1,Melbourne,-364.195555142127,0.014866461435139524,120,0.0,nan,1.0,0.0
105,51699,0,Monza,-405.5652805461432,0.015966998399606556,217,0.0,nan,1.0,0.0
106,51918,1,Melbourne,-515.9606175937224,0.013246685414385749,287,0.0,nan,1.0,0.0
107,52164,0,Monza,-322.0125505561009,0.015433829069074964,155,0.0,nan,1.0,0.0
108,52278,1,Melbourne,-439.3209027097764,0.008760843468586667,120,0.0,nan,1.0,0.0
109,52743,2,Silverstone,-1064.160226407199,0.015377460896390364,698,0.0,nan,1.0,0.0
110,52917,2,Silverstone,-464.3644102383405,0.004349554950093628,58,0.0,nan,1.0,0.0
111,52989,0,Monza,-398.0882627852261,0.03072221190598949,275,0.0,nan,1.0,0.0
112,53001,2,Silverstone,-472.7310663983226,0.00272947242973228,28,0.0,nan,1.0,0.0
113,53169,0,Monza,-421.05663695931435,0.00650605725897078,60,0.0,nan,1.0,0.0
114,53298,0,Monza,-416.8631679008249,0.0062048555893264605,43,0.0,nan,1.0,0.0
115,53430,0,Monza,-460.4427606817335,0.003743169150067792,44,0.0,nan,1.0,0.0
116,53994,0,Monza,-418.4035763455904,0.01343620444490769,188,0.0,nan,1.0,0.0
117,54051,1,Melbourne,-613.0089041682077,0.027756109603477172,591,0.0,nan,1.0,0.0
118,54300,2,Silverstone,-24.22420571721159,0.05451462698454303,433,0.0,nan,1.0,0.0
119,55728,1,Melbourne,-858.4327121318292,0.016037879030122996,559,0.0,nan,1.0,0.0
120,55845,2,Silverstone,-1035.17055898346,0.007582171992180605,515,0.0,nan,1.0,0.0
121,57048,2,Silverstone,-550.5713532150257,0.02138053558607638,401,0.0,nan,1.0,0.0
122,57282,2,Silverstone,-409.52106778603047,0.01717619666468041,78,0.0,nan,1.0,0.0
123,57855,2,Silverstone,-274.00296576484106,0.02031427709748099,191,0.0,nan,1.0,0.0
124,58881,1,Melbourne,-522.4018491656316,0.06735651171154966,1051,0.0,nan,1.0,0.0
125,59544,0,Monza,853.6265936761629,0.1626616774329345,1850,0.0,nan,1.0,0.0
126,59913,1,Melbourne,-629.4498441405594,0.01610837418904074,344,0.0,nan,1.0,0.0
127,61950,0,Monza,-71.95625267457217,0.0678339517380772,802,0.0,nan,1.0,0.0
128,62058,1,Melbourne,-908.1416687302408,0.020836525965394342,715,0.0,nan,1.0,0.0
129,62310,1,Melbourne,-363.3216293118894,0.01228790517783717,84,0.0,nan,1.0,0.0
130,63015,0,Monza,-209.59357949125115,0.031097981385918124,355,0.0,nan,1.0,0.0
131,63021,1,Melbourne,-123.64944259915501,0.03356398919295391,237,0.0,nan,1.0,0.0
132,64551,1,Melbourne,-496.41402855777415,0.02868065591644674,510,0.0,nan,1.0,0.0
133,65409,0,Monza,122.13944183313288,0.07671903995957612,798,0.0,nan,1.0,0.0
134,65412,1,Melbourne,-394.98625408648513,0.0218012499114203,287,0.0,nan,1.0,0.0
135,65952,2,Silverstone,281.3373538853484,0.22222622662442884,2699,0.0,nan,1.0,0.0
136,66291,2,Silverstone,-295.79052382020745,0.01644986768607227,113,0.0,nan,1.0,0.0
137,66555,1,Melbourne,-564.2942271181382,0.019486834522244173,381,0.0,nan,1.0,0.0
138,66621,0,Monza,-514.6115041424055,0.022236133676113358,404,0.0,nan,1.0,0.0
139,67212,1,Melbourne,-334.97365164011717,0.0240913289203671,219,0.0,nan,1.0,0.0
140,68013,1,Melbourne,-568.2561007449403,0.01603673290784974,267,0.0,nan,1.0,0.0
141,68286,0,Monza,-210.5807173801586,0.04888793822133868,555,0.0,nan,1.0,0.0
142,68562,2,Silverstone,-7.384960762108676,0.06648020068718306,757,0.0,nan,1.0,0.0
143,68922,1,Melbourne,-153.00073038693517,0.03513898005392465,303,0.0,nan,1.0,0.0
144,69066,2,Silverstone,-1220.264247418847,0.03853647292474828,168,0.0,nan,1.0,0.0
