episodes,timesteps,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12006374,0,Monza,17917.27785540372,0.9950244275460617,998,1.0,99.80000000000001,0.0,0.0
2,12007360,0,Monza,17821.09618625045,0.9953748983626199,986,1.0,98.60000000000001,0.0,0.0
3,12008363,0,Monza,17983.538009367883,0.9955426285007658,1003,1.0,100.30000000000001,0.0,0.0
4,12009062,0,Monza,11128.018506355584,0.6863067358365855,699,0.0,nan,1.0,0.0
5,12010045,0,Monza,17871.23460662365,0.9952495856500584,983,1.0,98.30000000000001,0.0,0.0
6,12011018,0,Monza,17744.446747399867,0.9958891358600627,973,1.0,97.30000000000001,0.0,0.0
7,12012009,0,Monza,17872.37393090874,0.995469684021381,991,1.0,99.10000000000001,0.0,0.0
8,12013000,0,Monza,17926.82805250585,0.9951001548784172,991,1.0,99.10000000000001,0.0,0.0
9,12013195,0,Monza,2317.7746846601367,0.168000781138396,195,0.0,nan,1.0,0.0
10,12014185,0,Monza,17912.389026358724,0.9959770065508359,990,1.0,99.0,0.0,0.0
11,12015154,0,Monza,17851.588660374284,0.9953691639989226,969,1.0,96.9,0.0,0.0
12,12015332,0,Monza,2197.709049202502,0.16073567964943475,178,0.0,nan,1.0,0.0
13,12015716,0,Monza,5775.198348790407,0.3729363669466554,384,0.0,nan,1.0,0.0
14,12015893,0,Monza,2235.9396379888058,0.160790398550083,177,0.0,nan,1.0,0.0
15,12016875,0,Monza,17886.968216374516,0.9961071260094377,982,1.0,98.2,0.0,0.0
16,12017856,0,Monza,17881.933041125536,0.9961057767473913,981,1.0,98.10000000000001,0.0,0.0
17,12018831,0,Monza,17842.22249275446,0.995090035413069,975,1.0,97.5,0.0,0.0
18,12019808,0,Monza,17916.33138154447,0.9958969784457075,977,1.0,97.7,0.0,0.0
19,12019996,0,Monza,2339.043555095792,0.16808562653067455,188,0.0,nan,1.0,0.0
20,12020184,0,Monza,2290.746010661125,0.16497167730306803,188,0.0,nan,1.0,0.0
21,12020367,0,Monza,2257.341784514487,0.16404886639219304,183,0.0,nan,1.0,0.0
22,12021344,0,Monza,17809.86064839363,0.9958387071910776,977,1.0,97.7,0.0,0.0
23,12022327,0,Monza,17900.350420072675,0.9956511597666249,983,1.0,98.30000000000001,0.0,0.0
24,12023302,0,Monza,17874.388528063893,0.9957559805618563,975,1.0,97.5,0.0,0.0
