episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12005561,44,0,Monza,2231.9992127865553,0.163655472176783,185,0.0,nan,1.0,0.0
2,12005740,44,0,Monza,2247.8028044477105,0.16278260504384512,179,0.0,nan,1.0,0.0
3,12005922,44,0,Monza,2236.2535538226366,0.16372349395792024,182,0.0,nan,1.0,0.0
4,12006106,44,0,Monza,2281.0587405338883,0.16431463939200902,184,0.0,nan,1.0,0.0
5,12006283,44,0,Monza,2246.543519169092,0.1634042669906245,177,0.0,nan,1.0,0.0
6,12006465,44,0,Monza,2246.364987388253,0.16379244335671436,182,0.0,nan,1.0,0.0
7,12006643,44,0,Monza,2184.960011407733,0.16323304774515543,178,0.0,nan,1.0,0.0
8,12006825,44,0,Monza,2251.741264678538,0.1638476366073008,182,0.0,nan,1.0,0.0
9,12007006,44,0,Monza,2285.199321486056,0.16399660357011364,181,0.0,nan,1.0,0.0
10,12007186,44,0,Monza,2203.4748242273927,0.163145545993223,180,0.0,nan,1.0,0.0
11,12007371,44,0,Monza,2294.2311553508043,0.16388936886075228,185,0.0,nan,1.0,0.0
12,12007547,44,0,Monza,2211.1456201002,0.1624038208065315,176,0.0,nan,1.0,0.0
13,12007727,44,0,Monza,2234.9077349081635,0.16355266473351146,180,0.0,nan,1.0,0.0
14,12007915,44,0,Monza,2282.5634551793337,0.1640572465744345,188,0.0,nan,1.0,0.0
15,12008103,44,0,Monza,2293.9701188504696,0.1642124749564315,188,0.0,nan,1.0,0.0
16,12008283,44,0,Monza,2238.9756175875664,0.1637469900915255,180,0.0,nan,1.0,0.0
17,12008467,44,0,Monza,2203.2754523977637,0.16386602030268332,184,0.0,nan,1.0,0.0
18,12008649,44,0,Monza,2222.8191362842917,0.1634410870869382,182,0.0,nan,1.0,0.0
19,12008828,44,0,Monza,2247.2462908923626,0.16283800911662633,179,0.0,nan,1.0,0.0
20,12009009,44,0,Monza,2215.483881827444,0.16291504354658926,181,0.0,nan,1.0,0.0
21,12009189,44,0,Monza,2197.575453326106,0.1630078896411587,180,0.0,nan,1.0,0.0
22,12009369,44,0,Monza,2225.702571488917,0.1629619198615927,180,0.0,nan,1.0,0.0
