episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12005919,44,0,Monza,2251.0244897454977,0.16273356780134546,181,0.0,nan,1.0,0.0
2,12006468,44,0,Monza,2295.2989058941603,0.1636600575595189,183,0.0,nan,1.0,0.0
3,12007014,44,0,Monza,2277.293865405023,0.16372475889108876,182,0.0,nan,1.0,0.0
4,12007569,44,0,Monza,2224.003260754049,0.1637742704835266,185,0.0,nan,1.0,0.0
5,12008124,44,0,Monza,2288.7384264543653,0.16386424939624739,185,0.0,nan,1.0,0.0
6,12008367,44,1,Melbourne,16235.982279926538,0.9952907390832256,997,1.0,99.7,0.0,0.0
7,12008592,44,2,Silverstone,17736.519095882773,0.9953526723564752,1072,1.0,107.2,0.0,0.0
8,12008661,44,0,Monza,2242.955793723464,0.16316358183198415,179,0.0,nan,1.0,0.0
9,12009201,44,0,Monza,2237.8642182797194,0.16325127332389186,180,0.0,nan,1.0,0.0
10,12009729,44,0,Monza,2234.180342361331,0.16190138935199497,176,0.0,nan,1.0,0.0
11,12010263,44,0,Monza,2246.5663597136736,0.16301671255000913,178,0.0,nan,1.0,0.0
12,12010809,44,0,Monza,2248.483902297914,0.16381578137367356,182,0.0,nan,1.0,0.0
13,12011349,44,0,Monza,2245.854139238596,0.16332031759267365,180,0.0,nan,1.0,0.0
14,12011382,44,1,Melbourne,16161.803518846631,0.9952701895140248,1005,1.0,100.5,0.0,0.0
15,12011814,44,2,Silverstone,17841.680003501475,0.9950200627462639,1074,1.0,107.4,0.0,0.0
16,12011898,44,0,Monza,2264.625535413623,0.16344975187914254,183,0.0,nan,1.0,0.0
17,12012444,44,0,Monza,2266.930688664317,0.16345225012215037,182,0.0,nan,1.0,0.0
18,12012987,44,0,Monza,2267.6966716572642,0.1639428122871223,181,0.0,nan,1.0,0.0
19,12013524,44,0,Monza,2212.458662547171,0.16335478702151585,179,0.0,nan,1.0,0.0
20,12014064,44,0,Monza,2277.6590398550034,0.16313366616254862,180,0.0,nan,1.0,0.0
21,12014370,44,1,Melbourne,16261.166787222028,0.9962376779760868,996,1.0,99.60000000000001,0.0,0.0
22,12014589,44,0,Monza,2121.5373162552714,0.16215965708167776,175,0.0,nan,1.0,0.0
23,12015042,44,2,Silverstone,17910.465916618705,0.9952309919828642,1076,1.0,107.60000000000001,0.0,0.0
24,12015138,44,0,Monza,2194.241977326572,0.16431744332719925,183,0.0,nan,1.0,0.0
25,12015684,44,0,Monza,2152.1400289461017,0.1639787996357667,182,0.0,nan,1.0,0.0
26,12016218,44,0,Monza,2229.294331483543,0.16357898588452643,178,0.0,nan,1.0,0.0
27,12016761,44,0,Monza,2236.0536470264196,0.16363469564949004,181,0.0,nan,1.0,0.0
28,12017292,44,0,Monza,2215.5404426902533,0.16260208853958744,177,0.0,nan,1.0,0.0
29,12017382,44,1,Melbourne,16198.222289659083,0.9954584530560757,1004,1.0,100.4,0.0,0.0
30,12017820,44,0,Monza,2212.3602932468057,0.16275469218525976,176,0.0,nan,1.0,0.0
