episodes,timesteps,seed,env_index,track_name,rewards,progress,lengths,success,lap_times,off_track,stalled
1,12007266,43,0,Monza,10659.564861364663,0.6561337789945872,630,0.0,nan,1.0,0.0
2,12008373,43,1,Melbourne,16257.39912506938,0.9956091652553044,999,1.0,99.9,0.0,0.0
3,12008550,43,2,Silverstone,18127.613309383392,0.9952710544371615,1058,1.0,105.80000000000001,0.0,0.0
4,12010233,43,0,Monza,17938.274168863893,0.9951527760982276,989,1.0,98.9,0.0,0.0
5,12011400,43,1,Melbourne,16241.203990265727,0.9957181908564738,1009,1.0,100.9,0.0,0.0
6,12011775,43,2,Silverstone,18021.925241060555,0.9957163863566689,1075,1.0,107.5,0.0,0.0
7,12013161,43,0,Monza,17821.692960567772,0.9953735912650125,976,1.0,97.60000000000001,0.0,0.0
8,12014397,43,1,Melbourne,16310.013545826077,0.9956386995016223,999,1.0,99.9,0.0,0.0
9,12015000,43,2,Silverstone,18086.54381157458,0.9953947254917314,1075,1.0,107.5,0.0,0.0
10,12015489,43,2,Silverstone,1785.5542143657804,0.14116009918899658,163,0.0,nan,1.0,0.0
11,12016119,43,0,Monza,17812.4705016613,0.9953847358532826,986,1.0,98.60000000000001,0.0,0.0
12,12017361,43,1,Melbourne,16253.233564414084,0.9957293295523355,988,1.0,98.80000000000001,0.0,0.0
13,12018681,43,2,Silverstone,17999.06511838734,0.9956347269648352,1064,1.0,106.4,0.0,0.0
14,12019092,43,0,Monza,17963.209513023496,0.9961805764620899,991,1.0,99.10000000000001,0.0,0.0
15,12020295,43,1,Melbourne,16208.34423443675,0.9957108072948944,978,1.0,97.80000000000001,0.0,0.0
16,12021870,43,2,Silverstone,17929.68062222004,0.9957716277532777,1063,1.0,106.30000000000001,0.0,0.0
17,12022074,43,0,Monza,17862.38147316873,0.9960314276651341,994,1.0,99.4,0.0,0.0
18,12023295,43,1,Melbourne,16358.849417626858,0.9954833797756669,1000,1.0,100.0,0.0,0.0
19,12025026,43,0,Monza,17887.499017380178,0.9959526776695613,984,1.0,98.4,0.0,0.0
20,12025086,43,2,Silverstone,18041.745519720018,0.9950442826979301,1072,1.0,107.2,0.0,0.0
21,12026295,43,1,Melbourne,16342.547860778868,0.9954640454416402,1000,1.0,100.0,0.0,0.0
22,12028032,43,0,Monza,17940.893969997764,0.9959911738023234,1002,1.0,100.2,0.0,0.0
23,12028263,43,2,Silverstone,17948.109109733254,0.9950535725424048,1059,1.0,105.9,0.0,0.0
24,12029304,43,1,Melbourne,16365.526824623346,0.9962215516325434,1003,1.0,100.30000000000001,0.0,0.0
25,12030105,43,0,Monza,11477.231256373227,0.7043549287783596,691,0.0,nan,1.0,0.0
26,12031437,43,2,Silverstone,18034.014108598232,0.9957839450917106,1058,1.0,105.80000000000001,0.0,0.0
27,12031773,43,0,Monza,9244.286994636059,0.5761312255161644,556,0.0,nan,1.0,0.0
28,12032340,43,1,Melbourne,16242.52799955383,0.995298065050721,1012,1.0,101.2,0.0,0.0
29,12034599,43,2,Silverstone,18098.755342811346,0.9951041275442561,1054,1.0,105.4,0.0,0.0
30,12034764,43,0,Monza,17939.656386382878,0.9955149686288142,997,1.0,99.7,0.0,0.0
31,12035358,43,1,Melbourne,16345.523886270821,0.9956737397423784,1006,1.0,100.60000000000001,0.0,0.0
32,12037743,43,0,Monza,17924.614497967064,0.9959210543403483,993,1.0,99.30000000000001,0.0,0.0
33,12037818,43,2,Silverstone,18143.230280973017,0.9956589883890216,1073,1.0,107.30000000000001,0.0,0.0
34,12038406,43,1,Melbourne,16325.940549470484,0.9962535278680265,1016,1.0,101.60000000000001,0.0,0.0
35,12040707,43,0,Monza,17905.196381747723,0.9952488266901574,988,1.0,98.80000000000001,0.0,0.0
36,12041004,43,2,Silverstone,17957.873095542192,0.9955339072687724,1062,1.0,106.2,0.0,0.0
37,12041400,43,1,Melbourne,16416.1991237849,0.9950434070485391,998,1.0,99.80000000000001,0.0,0.0
38,12043575,43,0,Monza,15978.793778523803,0.9639691376545811,956,0.0,nan,1.0,0.0
39,12044199,43,2,Silverstone,18017.416959460825,0.9951470516024318,1065,1.0,106.5,0.0,0.0
40,12044388,43,1,Melbourne,16372.503603711724,0.9951149374611182,996,1.0,99.60000000000001,0.0,0.0
41,12046458,43,0,Monza,17904.701726526022,0.9952046805225759,961,1.0,96.10000000000001,0.0,0.0
42,12047364,43,1,Melbourne,16320.87481175363,0.9950764775716197,992,1.0,99.2,0.0,0.0
43,12047397,43,2,Silverstone,17889.66744866222,0.9960951963541341,1066,1.0,106.60000000000001,0.0,0.0
44,12049392,43,0,Monza,17913.94451635331,0.9956888758572663,978,1.0,97.80000000000001,0.0,0.0
45,12050376,43,1,Melbourne,16386.023085787892,0.9958150295494511,1004,1.0,100.4,0.0,0.0
46,12050592,43,2,Silverstone,18093.584872096777,0.9950988605342191,1065,1.0,106.5,0.0,0.0
47,12052332,43,0,Monza,17930.060694366693,0.9959866411251361,980,1.0,98.0,0.0,0.0
48,12053163,43,0,Monza,3997.4207830447704,0.2667719175391754,277,0.0,nan,1.0,0.0
49,12053367,43,1,Melbourne,16325.036759756505,0.9950324641725633,997,1.0,99.7,0.0,0.0
50,12053781,43,2,Silverstone,18011.481364257634,0.9959576320053722,1063,1.0,106.30000000000001,0.0,0.0
51,12056139,43,0,Monza,17910.977607101202,0.9956246383345249,992,1.0,99.2,0.0,0.0
52,12056337,43,1,Melbourne,16158.18831308186,0.9952543396220851,990,1.0,99.0,0.0,0.0
53,12056973,43,2,Silverstone,18004.501957044005,0.9950365066004345,1064,1.0,106.4,0.0,0.0
54,12059121,43,0,Monza,18016.676191166043,0.9952355027274489,994,1.0,99.4,0.0,0.0
55,12059337,43,1,Melbourne,16263.143568873405,0.9958966288477801,1000,1.0,100.0,0.0,0.0
56,12060159,43,2,Silverstone,17920.25770571828,0.9950699956603155,1062,1.0,106.2,0.0,0.0
57,12062034,43,0,Monza,18024.93845551461,0.9960407697236391,971,1.0,97.10000000000001,0.0,0.0
58,12062364,43,1,Melbourne,16293.576388292015,0.9954155109069833,1009,1.0,100.9,0.0,0.0
59,12063366,43,2,Silverstone,17801.01613920927,0.9951489178658307,1069,1.0,106.9,0.0,0.0
60,12065013,43,0,Monza,18026.241347059608,0.9952474774281109,993,1.0,99.30000000000001,0.0,0.0
61,12065316,43,1,Melbourne,16212.3832995072,0.9963913850676878,984,1.0,98.4,0.0,0.0
62,12066039,43,0,Monza,5059.606195278466,0.32646242718412216,342,0.0,nan,1.0,0.0
63,12066519,43,2,Silverstone,18032.830724850297,0.9952388717616597,1051,1.0,105.10000000000001,0.0,0.0
64,12068319,43,1,Melbourne,16309.157388910651,0.9962808505015155,1001,1.0,100.10000000000001,0.0,0.0
65,12068979,43,0,Monza,17795.379386894405,0.9956096699586974,980,1.0,98.0,0.0,0.0
66,12069699,43,2,Silverstone,17955.41101464629,0.995441133241585,1060,1.0,106.0,0.0,0.0
67,12071343,43,1,Melbourne,16349.702192515135,0.9953648281129902,1008,1.0,100.80000000000001,0.0,0.0
68,12071910,43,0,Monza,17908.791019290686,0.9950490937428479,977,1.0,97.7,0.0,0.0
69,12072864,43,2,Silverstone,18131.882132023573,0.9957273765744628,1055,1.0,105.5,0.0,0.0
70,12072897,43,1,Melbourne,7315.3531795069575,0.515819344037478,518,0.0,nan,1.0,0.0
71,12074910,43,0,Monza,17923.401741340756,0.9958256572972224,1000,1.0,100.0,0.0,0.0
72,12075915,43,1,Melbourne,16314.107614807785,0.9953662103710081,1006,1.0,100.60000000000001,0.0,0.0
73,12076023,43,2,Silverstone,18093.2461335212,0.9959587517634115,1053,1.0,105.30000000000001,0.0,0.0
74,12076062,43,0,Monza,6127.8191556707025,0.38429518219001085,384,0.0,nan,1.0,0.0
75,12078939,43,1,Melbourne,16177.601800635457,0.9956340458996283,1008,1.0,100.80000000000001,0.0,0.0
76,12079026,43,0,Monza,17993.3994609043,0.9952056503046718,988,1.0,98.80000000000001,0.0,0.0
77,12079176,43,2,Silverstone,18000.79417539388,0.9954227609152355,1051,1.0,105.10000000000001,0.0,0.0
78,12081912,43,1,Melbourne,16358.982255451381,0.9954275826270071,991,1.0,99.10000000000001,0.0,0.0
79,12081993,43,0,Monza,18023.629772774875,0.9950740129262677,989,1.0,98.9,0.0,0.0
80,12082362,43,2,Silverstone,18061.132145494223,0.9955319891647235,1062,1.0,106.2,0.0,0.0
81,12084150,43,0,Monza,12133.719223417342,0.7428222421463251,719,0.0,nan,1.0,0.0
82,12084966,43,1,Melbourne,16133.940101131797,0.9957936967007067,1018,1.0,101.80000000000001,0.0,0.0
83,12085602,43,2,Silverstone,18125.382755950093,0.9954198578388371,1080,1.0,108.0,0.0,0.0
84,12087111,43,0,Monza,17920.0397612378,0.9953341675145936,987,1.0,98.7,0.0,0.0
85,12087954,43,1,Melbourne,16237.764514796436,0.9952548003747578,996,1.0,99.60000000000001,0.0,0.0
86,12088749,43,2,Silverstone,17961.23345760256,0.9955534822982014,1049,1.0,104.9,0.0,0.0
87,12090102,43,0,Monza,17903.3712021634,0.995852874442565,997,1.0,99.7,0.0,0.0
88,12090981,43,1,Melbourne,16304.586523264647,0.9961012951849779,1009,1.0,100.9,0.0,0.0
89,12091956,43,2,Silverstone,17962.86490096152,0.9950730231542738,1069,1.0,106.9,0.0,0.0
90,12093084,43,0,Monza,17869.76162160188,0.9959585385265755,994,1.0,99.4,0.0,0.0
91,12094020,43,1,Melbourne,16105.067969962955,0.9951042264013309,1013,1.0,101.30000000000001,0.0,0.0
92,12094317,43,0,Monza,5916.769424125552,0.3776044552295457,411,0.0,nan,1.0,0.0
93,12095205,43,2,Silverstone,18029.437812134624,0.9951011000502978,1083,1.0,108.30000000000001,0.0,0.0
94,12097017,43,1,Melbourne,16266.061558838002,0.9950167755440591,999,1.0,99.9,0.0,0.0
95,12097320,43,0,Monza,17869.0234021917,0.9952451162195296,1001,1.0,100.10000000000001,0.0,0.0
96,12098433,43,2,Silverstone,18033.86066957563,0.9955300088518947,1076,1.0,107.60000000000001,0.0,0.0
97,12100026,43,1,Melbourne,16246.76584866643,0.9957699780170293,1003,1.0,100.30000000000001,0.0,0.0
98,12100320,43,0,Monza,17743.930763818324,0.9955305694712259,1000,1.0,100.0,0.0,0.0
99,12101649,43,2,Silverstone,18044.13887797296,0.9960314116184104,1072,1.0,107.2,0.0,0.0
